145000,57.0,5,1994,1995,0.0,686,990,990,0,990,1,5,0,1996.0,2,672,0,0
132500,80.0,5,1963,1963,0.0,630,970,970,0,970,1,5,0,1996.0,2,624,0,24
183200,,6,2002,2003,0.0,457,783,807,702,1509,2,7,1,2002.0,2,393,100,75
115000,60.0,4,1955,1955,0.0,0,1005,1005,0,1005,1,5,1,1977.0,2,672,0,0
160000,84.0,6,1965,1965,101.0,643,1088,1324,0,1324,2,6,1,1965.0,2,440,0,138
160000,75.0,6,1940,1985,0.0,660,983,983,767,1750,2,7,0,1989.0,1,423,245,0
135750,,4,1956,1956,0.0,228,952,952,0,952,1,4,0,1956.0,1,283,0,0
140000,71.0,6,1963,1963,415.0,400,780,983,813,1796,1,8,1,1963.0,2,483,0,50
192000,59.0,6,1998,1998,0.0,828,943,943,695,1638,2,7,2,1998.0,2,472,100,38
155000,70.0,6,1966,1966,351.0,0,756,1051,788,1839,1,7,1,1966.0,2,442,0,124
158900,,6,1978,1978,328.0,438,672,672,714,1386,2,6,1,1978.0,2,440,335,0
367294,65.0,9,2008,2008,766.0,1540,1702,1702,0,1702,1,7,1,2008.0,3,1052,0,72
381000,,8,1935,1997,632.0,192,728,1968,1479,3447,3,11,2,1982.0,3,1014,314,12
116000,74.0,5,1953,1996,0.0,0,105,910,0,910,1,5,0,1953.0,2,414,196,0
295000,87.0,7,1880,2002,0.0,0,1470,1675,1818,3493,3,10,1,2003.0,3,870,302,0
175900,65.0,6,1992,1992,0.0,387,761,810,793,1603,2,7,0,1992.0,2,484,0,124
270000,85.0,8,2002,2003,236.0,1300,1616,1629,0,1629,2,9,1,2002.0,3,808,0,252
172500,53.0,7,2006,2007,72.0,0,1258,1258,0,1258,2,6,1,2007.0,3,648,144,16
582933,107.0,9,2008,2009,424.0,0,1734,1734,1088,2822,3,12,1,2009.0,3,1020,52,170
134500,66.0,5,1953,2006,0.0,643,1008,1008,0,1008,1,6,0,1953.0,1,240,0,18
79000,70.0,3,1931,2006,0.0,544,544,774,0,774,1,6,0,,0,0,0,0
133000,34.0,7,1998,1998,182.0,584,723,767,0,767,1,4,0,1998.0,1,367,120,40
165000,,6,1977,1977,0.0,767,1208,1208,0,1208,1,6,1,1977.0,2,546,198,42
160000,130.0,5,1940,1950,0.0,428,728,976,332,1308,1,7,2,1940.0,1,256,0,70
207000,59.0,7,2004,2004,146.0,720,1358,1358,0,1358,2,6,1,2004.0,2,484,192,30
555000,105.0,10,2008,2008,200.0,1767,3094,2402,0,2402,2,10,2,2008.0,3,672,0,72
239500,80.0,8,1995,1995,0.0,584,1128,1142,878,2020,2,8,1,1995.0,2,466,0,155
130000,50.0,5,1929,2001,0.0,234,926,926,0,1316,1,6,0,1974.0,2,484,0,0
164700,35.0,7,2006,2007,0.0,0,625,625,625,1250,2,5,0,2006.0,2,528,0,54
130000,92.0,5,1958,1958,120.0,300,1062,1352,0,1352,1,6,0,1958.0,1,288,168,0
250000,85.0,7,2005,2005,0.0,0,1026,1026,932,1958,2,9,1,2005.0,3,936,154,210
127000,60.0,5,1972,1972,0.0,390,864,864,0,864,1,5,0,1989.0,1,352,0,0
89500,21.0,6,1971,1971,604.0,358,483,483,504,987,1,5,0,1971.0,1,264,0,0
239000,44.0,7,1987,1987,0.0,495,1064,1064,703,1767,2,5,1,1987.0,2,504,441,35
213000,70.0,7,2004,2005,109.0,712,1473,1484,0,1484,2,7,0,2004.0,2,606,0,35
200000,,6,2002,2002,0.0,0,1010,1010,1257,2267,2,8,1,2002.0,2,390,120,46
263435,75.0,8,2009,2009,110.0,544,832,832,1103,1935,2,8,0,2009.0,2,552,0,150
163990,65.0,6,2005,2006,0.0,0,728,728,728,1456,2,8,1,2005.0,2,390,0,24
186000,83.0,6,2009,2009,0.0,36,1212,1212,0,1212,2,6,0,2009.0,2,460,100,22
128500,69.0,5,1969,1969,0.0,523,971,971,0,971,1,5,1,1969.0,1,300,0,0
377500,42.0,9,2006,2007,160.0,1320,1746,1746,0,1746,2,7,2,2006.0,3,758,201,39
122000,50.0,8,1872,1987,0.0,259,684,938,1215,2358,2,8,0,,0,0,0,54
207500,34.0,7,2007,2008,166.0,904,1314,1314,0,1314,2,6,1,2008.0,2,626,172,62
221500,86.0,7,2005,2006,240.0,20,1614,1614,0,1614,2,7,0,2005.0,3,865,144,59
158500,80.0,6,1950,2004,0.0,0,1092,1152,0,1152,1,6,1,1950.0,1,300,0,36
129000,60.0,5,1950,2002,0.0,398,864,864,0,864,1,5,0,1980.0,2,720,194,0
160000,80.0,6,1964,1964,425.0,553,1251,1251,0,1251,1,6,2,1964.0,1,461,0,116
185500,65.0,7,2004,2004,98.0,24,1414,1414,0,1414,2,6,0,2004.0,2,494,132,105
138800,,5,1969,1969,0.0,75,1096,1096,0,1096,1,6,0,1969.0,1,299,240,32
175000,60.0,5,1937,1950,252.0,569,731,981,787,1768,1,7,2,1939.0,1,240,0,0
325000,75.0,10,1893,2000,0.0,0,1237,1521,1254,2775,3,9,1,1988.0,2,880,105,502
149000,52.0,5,1928,1950,0.0,0,1042,1042,534,1576,1,8,1,1928.0,1,225,0,0
157000,90.0,5,1953,1953,56.0,841,1165,1336,0,1336,1,5,2,1953.0,1,375,0,0
183500,62.0,7,2004,2004,0.0,0,840,840,880,1720,2,7,1,2004.0,2,440,100,48
92000,21.0,5,1970,1970,0.0,553,630,630,0,630,1,3,0,,0,0,0,0
200000,91.0,5,1969,1969,368.0,500,1248,1338,1296,2634,2,12,0,1969.0,4,968,0,0
